EDIÇÃO,CÓD. IES,NOME IES,SIGLA IES,CAMPUS,CÓD CURSO,NOME CURSO,GRAU,TURNO,TIPO MODALIDADE,MODALIDADE CONCORRÊNCIA,PERCENTUAL DE BÔNUS,NOTA DE CORTE
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,112074,Gestão Ambiental,Tecnológico,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,792.81
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,112074,Gestão Ambiental,Tecnológico,Integral,Ampla Concorrência,Ampla Concorrência,0,792.81
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,112280,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,766.96
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,112280,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,Ampla Concorrência,Ampla Concorrência,0,766.96
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,122356,Física,Licenciatura,Noturno,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,727.9
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,122356,Física,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,727.9
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,122358,Matemática,Licenciatura,Noturno,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,729.4
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,122358,Matemática,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,729.4
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,5000077,Engenharia de Alimentos,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,788.65
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,5000077,Engenharia de Alimentos,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,788.65
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,5000089,Agronomia,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,811.67
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,5000089,Agronomia,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,811.67
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,5000090,Educaçao Física,Licenciatura,Noturno,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,764.77
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Florestal - Universidade Federal de Viçosa,5000090,Educaçao Física,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,764.77
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,111120,Administração,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,803.99
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,111120,Administração,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,803.99
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,118058,CIÊNCIAS DE ALIMENTOS,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,775.05
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,118058,CIÊNCIAS DE ALIMENTOS,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,775.05
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,118336,SISTEMA DE INFORMAÇÃO,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,765.9
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,118336,SISTEMA DE INFORMAÇÃO,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,765.9
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,1083446,SISTEMA DE INFORMAÇÃO,Bacharelado,Noturno,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,780.11
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,1083446,SISTEMA DE INFORMAÇÃO,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,780.11
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,5000091,Ciências Biológicas,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,807.88
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,5000091,Ciências Biológicas,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,807.88
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,5000092,Química,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,787.27
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Campus de Rio Paranaíba - Universidade Federal de Viçosa,5000092,Química,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,787.27
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade Federal de Viçosa,694,Física,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,773.74
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade Federal de Viçosa,694,Física,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,773.74
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade Federal de Viçosa,696,Matemática,Bacharelado,Integral,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,786.92
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade Federal de Viçosa,696,Matemática,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,786.92
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade Federal de Viçosa,122333,Física,Licenciatura,Noturno,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,747.36
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade Federal de Viçosa,122333,Física,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,747.36
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade Federal de Viçosa,122337,Química,Licenciatura,Noturno,Ações Afirmativas,"Candidatos que tenham cursado integralmente ensino fundamental e médio no sistema regular de ensino público brasileiro (não sendo aceitos supletivos, aceleração de formação e outros programas de natureza similar).",15,762.5
2010/2,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade Federal de Viçosa,122337,Química,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,762.5
2010/2,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Campus Educação Física,1438,Educaçao Física,Bacharelado / Licenciatura Plena,Integral,Ampla Concorrência,Ampla Concorrência,0,733.74
2010/2,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,CAMPUS SANTA MÔNICA,71863,Engenharia Mecatrônica,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,806.86
2010/2,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,CAMPUS SANTA MÔNICA,94163,ENGENHARIA BIOMÉDICA,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,783.4
2010/2,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,CAMPUS SANTA MÔNICA,115794,Relações Internacionais,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,808.08
2010/2,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,CAMPUS SANTA MÔNICA,1107144,Estatística,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,728.56
2010/2,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,CAMPUS SANTA MÔNICA,1109057,GESTÃO DA INFORMAÇÃO,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,732.16
2010/2,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,CAMPUS UMUARAMA,1430,Ciências Biológicas,Bacharelado / Licenciatura Plena,Integral,Ampla Concorrência,Ampla Concorrência,0,751.86
2010/2,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,102266,Processos Gerenciais,Tecnológico,Noturno,Ações Afirmativas,"Candidatos que tenham cursado, na rede pública, os últimos quatro anos do ensino fundamental e todo o ensino médio.",0,613.13
2010/2,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,102266,Processos Gerenciais,Tecnológico,Noturno,Ampla Concorrência,Ampla Concorrência,0,626.3
2010/2,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,102300,SISTEMAS BIOMÉDICOS,Tecnológico,Noturno,Ações Afirmativas,"Candidatos que tenham cursado, na rede pública, os últimos quatro anos do ensino fundamental e todo o ensino médio.",0,627.2
2010/2,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,102300,SISTEMAS BIOMÉDICOS,Tecnológico,Noturno,Ampla Concorrência,Ampla Concorrência,0,649.28
2010/2,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,102302,Radiologia,Tecnológico,Noturno,Ampla Concorrência,Ampla Concorrência,0,695.95
2010/2,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,102312,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,Ações Afirmativas,"Candidatos que tenham cursado, na rede pública, os últimos quatro anos do ensino fundamental e todo o ensino médio.",0,637.38
2010/2,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,102312,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,Ampla Concorrência,Ampla Concorrência,0,660.93
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103485,Engenharia Mecatrônica,Bacharelado,Integral,Ações Afirmativas,Candidatos autodeclarados brancos ou orientais que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.,0,730.09
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103485,Engenharia Mecatrônica,Bacharelado,Integral,Ações Afirmativas,"Candidatos autodeclarados pretos, pardos ou indígenas que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.",0,726.65
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103485,Engenharia Mecatrônica,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,763.52
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103486,Engenharia Civil,Bacharelado,Integral,Ações Afirmativas,Candidatos autodeclarados brancos ou orientais que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.,0,717.7
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103486,Engenharia Civil,Bacharelado,Integral,Ações Afirmativas,"Candidatos autodeclarados pretos, pardos ou indígenas que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.",0,706.68
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103486,Engenharia Civil,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,768.59
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103488,Engenharia Química,Bacharelado,Integral,Ações Afirmativas,Candidatos autodeclarados brancos ou orientais que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.,0,724.21
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103488,Engenharia Química,Bacharelado,Integral,Ações Afirmativas,"Candidatos autodeclarados pretos, pardos ou indígenas que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.",0,767.45
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103488,Engenharia Química,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,765.55
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103489,Engenharia de Telecomunicações,Bacharelado,Integral,Ações Afirmativas,Candidatos autodeclarados brancos ou orientais que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.,0,683.93
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103489,Engenharia de Telecomunicações,Bacharelado,Integral,Ações Afirmativas,"Candidatos autodeclarados pretos, pardos ou indígenas que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.",0,686.6
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103489,Engenharia de Telecomunicações,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,734.82
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103490,Engenharia de Bioprocessos,Bacharelado,Integral,Ações Afirmativas,Candidatos autodeclarados brancos ou orientais que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.,0,684.99
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103490,Engenharia de Bioprocessos,Bacharelado,Integral,Ações Afirmativas,"Candidatos autodeclarados pretos, pardos ou indígenas que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.",0,682.2
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Alto Paraopeba - CAP,1103490,Engenharia de Bioprocessos,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,738.33
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Centro-Oeste ,114093,Bioquímica,Bacharelado,Integral,Ações Afirmativas,Candidatos autodeclarados brancos ou orientais que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.,0,716.23
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Centro-Oeste ,114093,Bioquímica,Bacharelado,Integral,Ações Afirmativas,"Candidatos autodeclarados pretos, pardos ou indígenas que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.",0,692.24
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Centro-Oeste ,114093,Bioquímica,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,767.02
2010/2,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Campus Centro-Oeste ,114095,Farmácia,Bacharelado,Integral,Ações Afirmativas,Candidatos autodeclarados brancos ou orientais que tenham cursado integralmente o ensino fundamental e médio em escolas públicas.,0,700.09
