EDIÇÃO,CÓD. IES,NOME IES,SIGLA IES,CAMPUS,CÓD CURSO,NOME CURSO,GRAU,TURNO,TIPO MODALIDADE,MODALIDADE CONCORRÊNCIA,PERCENTUAL DE BÔNUS,NOTA DE CORTE
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100763,Medicina Veterinária,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,670.6
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100768,Engenharia Florestal,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,640.38
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100770,Enfermagem,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,662.24
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100772,Zootecnia,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,620.02
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100775,CIÊNCIAS NATURAIS E MATEMÁTICA - MATEMÁTICA,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,605.6
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100776,CIÊNCIAS NATURAIS E MATEMÁTICA - QUÍMICA,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,605.9
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100777,CIÊNCIAS NATURAIS E MATEMÁTICA - FÍSICA,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,599.7
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100778,Agronomia,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,629.18
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,116720,Farmácia,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,666.94
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,116736,Engenharia Agrícola e Ambiental,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,634.26
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,1,Direito,Bacharelado,Matutino,Ampla Concorrência,Ampla Concorrência,0,738.94
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,1,Direito,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,732.8
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,2,Ciências Econômicas,Bacharelado,Matutino,Ampla Concorrência,Ampla Concorrência,0,654.48
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,2,Ciências Econômicas,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,657.0
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,3,Engenharia Civil,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,725.18
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,6,Pedagogia,Licenciatura,Matutino,Ampla Concorrência,Ampla Concorrência,0,607.62
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,6,Pedagogia,Licenciatura,Vespertino,Ampla Concorrência,Ampla Concorrência,0,603.4
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,7,Serviço Social,Bacharelado,Matutino,Ampla Concorrência,Ampla Concorrência,0,625.02
2011/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO DE CUIABÁ,8,Ciências Contábeis,Bacharelado,Matutino,Ampla Concorrência,Ampla Concorrência,0,656.74
