EDIÇÃO,CÓD. IES,NOME IES,SIGLA IES,CAMPUS,CÓD CURSO,NOME CURSO,GRAU,TURNO,TIPO MODALIDADE,MODALIDADE CONCORRÊNCIA,PERCENTUAL DE BÔNUS,NOTA DE CORTE
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100763,Medicina Veterinária,Bacharelado,Integral,Ações Afirmativas,Candidatos negros que tenham cursado integralmente a educação básica em escolas públicas.,0,604.2
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100763,Medicina Veterinária,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integralmente a educação básica em escolas públicas.,0,638.28
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100763,Medicina Veterinária,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,660.68
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100768,Engenharia Florestal,Bacharelado,Integral,Ações Afirmativas,Candidatos negros que tenham cursado integralmente a educação básica em escolas públicas.,0,583.24
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100768,Engenharia Florestal,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integralmente a educação básica em escolas públicas.,0,612.82
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100768,Engenharia Florestal,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,631.68
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100770,Enfermagem,Bacharelado,Integral,Ações Afirmativas,Candidatos negros que tenham cursado integralmente a educação básica em escolas públicas.,0,604.96
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100770,Enfermagem,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integralmente a educação básica em escolas públicas.,0,619.54
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100770,Enfermagem,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,645.38
2012/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CAMPUS UNIVERSITÁRIO  DE SINOP,100772,Zootecnia,Bacharelado,Integral,Ações Afirmativas,Candidatos negros que tenham cursado integralmente a educação básica em escolas públicas.,0,569.38
