EDIÇÃO,CÓD. IES,NOME IES,SIGLA IES,CAMPUS,CÓD CURSO,NOME CURSO,GRAU,TURNO,TIPO MODALIDADE,MODALIDADE CONCORRÊNCIA,PERCENTUAL DE BÔNUS,NOTA DE CORTE
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,61560,Engenharia de Produção,Bacharelado,Noturno,Ações Afirmativas,"Candidatos que cursaram e concluíram integralmente todas as séries do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos) em escolas públicas brasileiras das esferas federal, estadual ou municipal, excluídos os exames de suplência, supletivos, telecursos, certificação pelo Exame Nacional do Ensino Médio ¿ ENEM ou similares.",0,696.85
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,61560,Engenharia de Produção,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,715.2
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,80779,Sistemas de Informação,Bacharelado,Vespertino,Ações Afirmativas,"Candidatos que cursaram e concluíram integralmente todas as séries do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos) em escolas públicas brasileiras das esferas federal, estadual ou municipal, excluídos os exames de suplência, supletivos, telecursos, certificação pelo Exame Nacional do Ensino Médio ¿ ENEM ou similares.",0,665.59
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,80779,Sistemas de Informação,Bacharelado,Vespertino,Ampla Concorrência,Ampla Concorrência,0,669.25
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,121679,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Noturno,Ações Afirmativas,"Candidatos que cursaram e concluíram integralmente todas as séries do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos) em escolas públicas brasileiras das esferas federal, estadual ou municipal, excluídos os exames de suplência, supletivos, telecursos, certificação pelo Exame Nacional do Ensino Médio ¿ ENEM ou similares.",0,698.1
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,121679,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,703.65
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,121681,Engenharia Elétrica,Bacharelado,Vespertino,Ações Afirmativas,"Candidatos que cursaram e concluíram integralmente todas as séries do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos) em escolas públicas brasileiras das esferas federal, estadual ou municipal, excluídos os exames de suplência, supletivos, telecursos, certificação pelo Exame Nacional do Ensino Médio ¿ ENEM ou similares.",0,709.61
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,121681,Engenharia Elétrica,Bacharelado,Vespertino,Ampla Concorrência,Ampla Concorrência,0,726.28
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS MORRO DO CRUZEIRO,586,Engenharia Civil,Bacharelado,Integral,Ações Afirmativas,"Candidatos que cursaram e concluíram integralmente todas as séries do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos) em escolas públicas brasileiras das esferas federal, estadual ou municipal, excluídos os exames de suplência, supletivos, telecursos, certificação pelo Exame Nacional do Ensino Médio ¿ ENEM ou similares.",0,734.98
2011/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS MORRO DO CRUZEIRO,586,Engenharia Civil,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,767.59
